C07900,U007900,CAN Bus Communication defect (BusOff)
C10100,U010100,Communication disruption with TCM (CAN)
C13100,U013100,Communication disruption with EPAS (CAN)
C14700,U014700,Communication disruption with PT_GWU (CAN)
C15500,U015500,Communication disruption with HEC (CAN)
C15802,U015802,HUD-CMU Communication disruption
C14000,U014000,CAN Bus Communication defect (Missing Message IVI-CAN)
C15100,U015100,Communication disruption with RCM (CAN)
C16200,U016200,GMSL TX0(Center-Display)<=> Center-Display Communication defect
C18600,U018600,CAN Bus Communication defect (Missing Message AMP)
C18602,U018602,AMP-CMU Communication disruption (MOST Ring Break Diag)
C18608,U018608,AMP-CMU Communication disruption (no response MOST communication)
C18700,U018700,DeckCD/DVD-CMU Communication disruption (USB)
C18702,U018702,GMSL RX1(CD/DVD Deck)<=> CD/DVD Deck Communication defect
C19100,U019100,GMSL RX3(DTV)<=> DTV Communication defect
C19800,U019800,TCU-CMU Communication disruption (USB)
C19802,U019802,TCU Communication disruption (CAN)
C26400,U026400,GMSL RX0(camera)<=> Camera Communication defect
E12100,U212100,VCM Communication disruption (CAN)
E13300,U213300,LowDisp-CMU Communication disruption (CAN)
E13302,U213302,LowDisp-CMU Communication disruption (USB)
E13C00,U213C00,DSC Communication disruption (CAN)
E13E00,U213E00,PCM Communication disruption (CAN)
E14000,U214000,GMSL RX2(HUB unit)<=> HUB unit Communication defect
E14002,U214002,Communication disruption between USB HUB and CMU
E14100,U214100,SYS Micro <=> Commander Communication defect
E14200,U214200,SYS Micro <=> MIC Communication defect (UART
E14400,U214400,GMSL TX1(RSES)<=> RSES unit Communication defect
E14502,U214502,Tuner-CMU Communication disruption (MOST Ring Break Diag)
E14508,U214508,Tuner-CMU Communication disruption (MOST Communication no response)
E14600,U214600,Qi-CMU Communication disruption (CAN)
E14602,U214602,Qi-CMU Communication disruption (USB)
E30054,U230054,CDID that CMU needs isn't notified from C-BCM.
E30055,U230055,CMU with no configure condition
E30055,U230055,TUNER configuration abnormal
E30055,U230055,AMP configuration abnormal
E30056,U230056,The parameter of CMU CDP isn't correct ( out of range
E30064,U230064,Repugnant configuration among CMU
E30156,U230156,The parameter of CMU CDP isn't correct by dealer configuration ( out of range
E30164,U230164,Repugnant configuration among CMU by dealer configuration
F00042,U300042,Memory fault
F00042,U300042,SYS Micro <=> EEPROM Communication defect
F00042,U300042,SoC <=> External memory (for the Audio) Communication defect
F00047,U300047,SYS Micro <=> SoC Communication defect
F00047,U300047,CAN Micro <=> SYS Micro Communication defect
F00047,U300047,CAN Micro <=> SoC Communication defect
F00047,U300047,SoC <=> CAN Micro Communication defect
F00047,U300047,SoC <=> SYS Micro Communication defect
F00049,U300049,GMSL RX0(camera) defect (power defect)
F00049,U300049,GMSL RX0(camera) defect (IC defect)
F00049,U300049,SYS Micro <=> GMSL RX0(camera) Communication defect
F00049,U300049,SYS Micro <=> GMSL TX0(Center-Display) Communication defect
F00049,U300049,SYS Micro <=> Audio DSP Communication defect (setting/ Information receive)
F00049,U300049,SYS Micro <=> FPGA Communication defect (FPGA setting
F00049,U300049,SYS Micro <=> GYRO Communication defect
F00049,U300049,SYS Micro <=> GSENSOR Communication defect
F00049,U300049,SoC <=> MOST INIC Communication defect
F00049,U300049,SoC <=> Bluetooth/Wi-Fi module Communication defect (BT)
F00049,U300049,SoC <=> Bluetooth/Wi-Fi module Communication defect (WiFi)
F00049,U300049,SoC <=> CP Communication defect
F00049,U300049,GMSL RX1(CD/DVD Deck) <=> SoC Communication defect
F00049,U300049,GMSL RX1(CD/DVD Deck) <=> FPGA Communication defect
F00049,U300049,GMSL RX1(CD/DVD Deck) defect (power defect)
F00049,U300049,GMSL RX1(CD/DVD Deck) defect (IC defect)
F00049,U300049,SoC <=> GMSL RX1(CD/DVD Deck) Communication defect
F00049,U300049,FPGA <=> GMSL RX1(CD/DVD Deck) Communication defect
F00049,U300049,GMSL RX2(HUB unit) <=> SoC Communication defect
F00049,U300049,GMSL RX2(HUB unit) <=> FPGA Communication defect
F00049,U300049,GMSL RX2(HUB unit) defect  (power defect)
F00049,U300049,GMSL RX2(HUB unit) defect  (IC defect)
F00049,U300049,SoC <=> GMSL RX2(HUB unit) Communication defect
F00049,U300049,FPGA <=> GMSL RX2(HUB unit) Communication defect
F00049,U300049,GMSL RX3(DVT) <=> SoC Communication defect
F00049,U300049,GMSL RX3(DVT) <=> FPGA defect
F00049,U300049,GMSL RX3(DVT) defect (power defect)
F00049,U300049,GMSL RX3(DVT) defect (IC defect)
F00049,U300049,SoC <=> GMSL RX3(DVT)  Communication defect
F00049,U300049,FPGA <=> GMSL RX3(DVT)  Communication defect
F00049,U300049,GMSL TX1(RSES) <=> SoC Communication defect
F00049,U300049,SoC <=> GMSL TX1(RSES) Communication defect
F00049,U300049,FPGA <=> SoC Communication defect (video input to CMU)
F00049,U300049,FPGA <=> SoC Communication defect (video output from CMU)
F00049,U300049,SoC <=> FPGA Communication defect (video input to CMU)
F00049,U300049,SoC <=> FPGA Communication defect (video output from CMU)
F00049,U300049,SYS Micro <=> External RTC
F00316,U300316,Power failure for CAN (BAT_DET2 detect) 
F00316,U300316,Power failure for CAN (BAT_DET detect past 30secs)
91BA13,B11BA13,SYS Micro <=> ST-SW defect (Open
91BA2B,B11BA2B,SYS Micro <=> ST-SW defect (Long press
